Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 3 High template"
RTP1,receptor (chemosensory) transporter protein 1,XM_001103282,MmugDNA.38879.1.S1_at,RTP1,0.525295537
LOC709116,similar to Probable ATP-dependent helicase LGP2 (Protein D11Lgp2 homolog),XM_001108799,MmuSTS.713.1.S1_x_at,LGP2,0.522849862
MmugDNA.1099.1.S1_at,"gDNA.Hs.241284.0.A1  FEA=U133PSR  GEN=KLK7  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239381_at kallikrein 7 (chymotryptic, stratum corneum)  REP_ORG=M. mulatta",gDNA.Hs.241284.0,MmugDNA.1099.1.S1_at,KLK7,0.522106824
LOC693405,"similar to actin related protein 2/3 complex, subunit 5-like",XM_001082363,MmugDNA.23247.1.S1_at,ARPC5L,0.521390401
MmugDNA.7192.1.S1_at,gDNA.Hs.179246.0.A1  FEA=U133PSR  GEN=TOM1L1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 240261_at Target of myb1-like 1 (chicken)  REP_ORG=M. mulatta,gDNA.Hs.179246.0,MmugDNA.7192.1.S1_at,TOM1L1,0.520426126
PTPN3,"protein tyrosine phosphatase, non-receptor type 3",XM_001107457,MmuSTS.3726.1.S1_at,PTPN3,0.519754069
LOC722738,similar to F-box only protein 2,XR_014794,MmugDNA.14527.1.S1_at,FBXO2,0.51803577
FAT3,FAT tumor suppressor homolog 3 (Drosophila),XM_001084587,MmugDNA.18001.1.S1_at,FAT3,0.517945549
LOC708314,similar to histone deacetylase 9 isoform 3,XM_001104288,MmugDNA.21874.1.S1_at,HDAC9,0.517858172
SRPK1,SFRS protein kinase 1,XM_001116721,MmugDNA.3436.1.S1_at,SRPK1,0.51742237
LOC722583,Similar to phosphatidic acid phosphatase type 2A isoform 1,CK232645,MmugDNA.5074.1.S1_at,PPAP2A,0.513128682
LOC719241,"similar to pyrin and HIN domain family, member 1 beta 1 isoform",XM_001117139,MmugDNA.15262.1.S1_at,RAPGEF5,0.510164307
RIMS3,regulating synaptic membrane exocytosis 3,XM_001084240,MmugDNA.7772.1.S1_at,RIMS3,0.509490957
BRP44,brain protein 44,XM_001091697,MmugDNA.31388.1.S1_s_at,DKFZP564B167,0.50722737
LOC697448,similar to RAN binding protein 5,XM_001089501,MmugDNA.34806.1.S1_at,,0.50450038
IYD,iodotyrosine deiodinase,XM_001098926,MmugDNA.31058.1.S1_at,ARL6,0.503932143
CDK2AP1,cyclin-dependent kinase 2 associated protein 1,XM_001100820,MmugDNA.25572.1.S1_s_at,CDK2AP1,0.502002322
MmugDNA.39567.1.S1_at,gDNA.Hs.27260.0.A1  FEA=U133PSR  GEN=LMO4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229537_at LIM domain only 4  REP_ORG=M. mulatta,gDNA.Hs.27260.0,MmugDNA.39567.1.S1_at,LMO4,0.501911538
MmuSTS.3784.1.S1_at,"gi:55167473  DEF=ADCYAP1 _4255 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA4255, sequence tagged site.  GEN=ADCYAP1  PROD=adenylate cyclase activating polypeptide 1 (pituitary)  REP_ORG=M. mulatta",55167473,MmuSTS.3784.1.S1_at,ADCYAP1,0.500564899
