Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 4 High template"
MmugDNA.24683.1.S1_at,gDNA.Hs.293968.0.A1  FEA=U133PSR  GEN=LOC283666  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226682_at hypothetical protein LOC283666  REP_ORG=M. mulatta,gDNA.Hs.293968.0,MmugDNA.24683.1.S1_at,LOC283666,0.697076556
LOC711435,"similar to ATPase, Class V, type 10A",XM_001108767,MmugDNA.7735.1.S1_at,ATP10A,0.689104215
LOC714749,similar to Rsb-66 protein,XM_001104509,MmugDNA.29288.1.S1_at,C9orf9,0.685545298
LOC697272,similar to Parvalbumin alpha,XM_001085875,MmugDNA.23641.1.S1_at,PVALB,0.68548407
PION,pigeon homolog (Drosophila),XM_001083448,MmugDNA.23336.1.S1_s_at,PION,0.683311538
MXRA5,matrix-remodelling associated 5,XM_001086428,MmugDNA.12065.1.S1_at,MXRA5,0.68295606
MmugDNA.32362.1.S1_at,gDNA.g4885446  FEA=U133PSR  GEN=MAFB  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 218559_s_at v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)  REP_ORG=M. mulatta,gDNA,MmugDNA.32362.1.S1_at,MAFB,0.682710366
RASSF6,Ras association (RalGDS/AF-6) domain family member 6,XM_001103785,MmugDNA.35626.1.S1_s_at,RASSF6,0.679491597
MmugDNA.27630.1.S1_at,gDNA.Hs2.112496.1.S1  FEA=U133PSR  GEN=LOC283392  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1560698_a_at hypothetical protein LOC283392  REP_ORG=M. mulatta,XP_001790090,MmugDNA.27630.1.S1_at,LOC283392,0.67947216
MmugDNA.2044.1.S1_at,gDNA.Hs.21606.0.A1  FEA=U133PSR  GEN=GPR161  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230369_at G protein-coupled receptor 161  REP_ORG=M. mulatta,gDNA.Hs.21606.0,MmugDNA.2044.1.S1_at,GPR161,0.679052174
LOC701571,hypothetical protein LOC701571,XM_001096888,MmugDNA.42492.1.S1_at,HUNK,0.675436587
LOC703835,similar to Afamin precursor (Alpha-albumin) (Alpha-Alb),XM_001092161,MmugDNA.35868.1.S1_at,AFM,0.673340796
MmugDNA.4977.1.S1_at,gDNA.Hs.72630.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 244130_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.72630.0,MmugDNA.4977.1.S1_at,,0.670490108
CTTNBP2NL,CTTNBP2 N-terminal like,XM_001106929,MmuSTS.162.1.S1_at,HTR2A,0.660489956
LOC711438,similar to retinol dehydrogenase 12 (all-trans and 9-cis),XM_001108235,MmugDNA.20906.1.S1_at,RDH12,0.659963532
MmugDNA.480.1.S1_at,gDNA.Hs.50081.1.S1  FEA=U133PSR  GEN=KIAA1199  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212942_s_at KIAA1199  REP_ORG=M. mulatta,gDNA.Hs.50081.1,MmugDNA.480.1.S1_at,KIAA1199,0.659194312
LOC703310,similar to RAR-related orphan receptor B,XM_001098796,MmugDNA.24682.1.S1_at,RORB,0.658233992
MmugDNA.40824.1.S1_at,gDNA.Hs.323304.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242193_at Hypothetical gene supported by BX537900  REP_ORG=M. mulatta,gDNA.Hs.323304.0,MmugDNA.40824.1.S1_at,,0.655815628
VAV3,vav 3 guanine nucleotide exchange factor,XM_001083213,MmugDNA.41882.1.S1_at,VAV3,0.653988101
TIAM1,T-cell lymphoma invasion and metastasis 1,XM_001098107,MmugDNA.20387.1.S1_at,TIAM1,0.653930642
DEPDC6,DEP domain containing 6,XM_001097652,MmugDNA.42925.1.S1_at,DEPDC6,0.652948251
FAM20A,"similar to family with sequence similarity 20, member C",XM_001083623,MmugDNA.4219.1.S1_at,FAM20A,0.650554164
MmugDNA.1017.1.S1_at,"gDNA.Hs.146274.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229715_at CDNA FLJ41663 fis, clone FEBRA2027297  REP_ORG=M. mulatta",gDNA.Hs.146274.0,MmugDNA.1017.1.S1_at,,0.648148011
MmugDNA.13898.1.S1_at,gDNA.Hs.120784.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243947_s_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.120784.1,MmugDNA.13898.1.S1_at,,0.646249162
MmugDNA.16358.1.S1_at,gDNA.Hs.105775.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241653_x_at  REP_ORG=M. mulatta,gDNA.Hs.105775.0,MmugDNA.16358.1.S1_at,,0.646244892
MmugDNA.41698.1.S1_at,"gDNA.Hs.197143.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229121_at CDNA FLJ44441 fis, clone UTERU2020242  REP_ORG=M. mulatta",gDNA.Hs.197143.0,MmugDNA.41698.1.S1_at,,0.637717579
MmugDNA.39200.1.S1_at,gDNA.Hs.43273.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226773_at MRNA (clone ICRFp507I1077)  REP_ORG=M. mulatta,gDNA.Hs.43273.0,MmugDNA.39200.1.S1_at,,0.63655891
LOC710841,similar to heterogeneous nuclear ribonucleoprotein L-like,XM_001109883,MmugDNA.22421.1.S1_at,,0.635458405
VAV3,vav 3 guanine nucleotide exchange factor,XM_001083213,MmugDNA.17293.1.S1_s_at,VAV3,0.634574319
TRPC3,"transient receptor potential cation channel, subfamily C, member 3",XR_012650,MmugDNA.19955.1.S1_at,TRPC3,0.633701515
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",XM_001097339,MmugDNA.33107.1.S1_at,ST8SIA4,0.633552114
LOC716252,similar to oxysterol binding protein 2 isoform a,XR_013821,MmuSTS.3155.1.S1_at,OSBP2,0.633058822
SPON1,"spondin 1, extracellular matrix protein",XM_001093336,MmugDNA.32812.1.S1_at,SPON1,0.632252014
LOC707243,similar to phospholipase C-like 3,XR_013135,MmugDNA.9006.1.S1_at,PLCL3,0.631201713
SLC38A1,"solute carrier family 38, member 1",XM_001094126,MmugDNA.38095.1.S1_at,SLC38A1,0.630348966
LOC710159,similar to fibronectin type III domain containing 5,XM_001098747,MmugDNA.25525.1.S1_at,FNDC5,0.626102532
MmugDNA.11459.1.S1_at,gDNA.Hs.50319.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239291_at MRNA; cDNA DKFZp761C1418 (from clone DKFZp761C1418)  REP_ORG=M. mulatta,gDNA.Hs.50319.0,MmugDNA.11459.1.S1_at,,0.625105425
PRDM1,"PR domain containing 1, with ZNF domain",XM_001087708,MmugDNA.39211.1.S1_at,PRDM1,0.62031788
MmugDNA.4421.1.S1_at,gDNA.Hs.169487.0.S1  FEA=U133PSR  GEN=MAFB  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222670_s_at v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)  REP_ORG=M. mulatta,gDNA.Hs.169487.0,MmugDNA.4421.1.S1_at,MAFB,0.619285561
MmugDNA.7355.1.S1_at,"gDNA.Hs.124758.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229771_at CDNA FLJ41153 fis, clone BRACE2038492  REP_ORG=M. mulatta",gDNA.Hs.124758.0,MmugDNA.7355.1.S1_at,,0.619032423
DLG5,"discs, large homolog 5 (Drosophila)",XM_001092838,MmugDNA.24723.1.S1_at,DLG5,0.618316084
LOC710904,similar to ankyrin 1 isoform 1,XM_001099591,MmugDNA.16146.1.S1_at,ANK1,0.61781242
LOC707191,similar to Y73F8A.5,XM_001095622,MmugDNA.23806.1.S1_at,FLJ31340,0.615116488
LOC695994,"similar to ATPase, Class I, type 8B, member 1",XR_010303,MmugDNA.35151.1.S1_at,,0.614999333
MmugDNA.3987.1.S1_at,gDNA.Hs.217290.0.A1  FEA=U133PSR  GEN=GPR123  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239221_at G protein-coupled receptor 123  REP_ORG=M. mulatta,gDNA.Hs.217290.0,MmugDNA.3987.1.S1_at,GPR123,0.613870988
USP28,ubiquitin specific peptidase 28,XM_001085291,MmugDNA.17292.1.S1_at,CACNA1A,0.6136398
MmugDNA.594.1.S1_at,gDNA.Hs.27280.0.A1  FEA=U133PSR  GEN=WWOX  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 237015_at WW domain containing oxidoreductase  REP_ORG=M. mulatta,gDNA.Hs.27280.0,MmugDNA.594.1.S1_at,WWOX,0.611525289
LOC713374,similar to heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1 precursor,XM_001098428,MmugDNA.17100.1.S1_at,HS3ST1,0.609282671
LOC709353,"similar to pleckstrin homology-like domain, family B, member 2",XM_001097875,MmugDNA.37083.1.S1_at,PHLDB2,0.608468119
MmugDNA.2228.1.S1_at,gDNA.Hs.50340.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 238661_at Hypothetical gene supported by BX537900  REP_ORG=M. mulatta,gDNA.Hs.50340.0,MmugDNA.2228.1.S1_at,,0.60776015
NCOA3,nuclear receptor coactivator 3,XM_001101374,MmugDNA.32690.1.S1_at,NCOA3,0.605749645
MmuSTS.3045.1.S1_at,"gi:47777016  DEF=PTPRT_1775 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA1775, sequence tagged site.  GEN=PTPRT  PROD=protein tyrosine phosphatase, receptor type, T  REP_ORG=M. mulatta",47777016,MmuSTS.3045.1.S1_at,PTPRT,0.603670332
LOC716656,"similar to family with sequence similarity 19 (chemokine (C-C motif)-like), member A2",XM_001116668,MmugDNA.5445.1.S1_at,FAM19A2,0.601439323
LOC704014,similar to RAR-related orphan receptor A isoform b,XM_001100971,MmugDNA.26193.1.S1_at,RORA,0.6012514
RASSF6,Ras association (RalGDS/AF-6) domain family member 6,XM_001103611,MmuSTS.993.1.S1_at,RASSF6,0.599209308
MmugDNA.23863.1.S1_at,gDNA.Hs.287499.0.S1  FEA=U133PSR  GEN=PDZRN3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 233442_at PDZ domain containing RING finger 3  REP_ORG=M. mulatta,gDNA.Hs.287499.0,MmugDNA.23863.1.S1_at,PDZRN3,0.594458931
GALR1,galanin receptor 1,XM_001086740,MmuSTS.4817.1.S1_at,GALR1,0.594362023
AFP,alpha-fetoprotein,XM_001103873,MmugDNA.35871.1.S1_at,AFP,0.593266682
PPP3CA,"protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform",XM_001108447,MmugDNA.12216.1.S1_at,PPP3CA,0.592501341
MmugDNA.12488.1.S1_at,gDNA.Hs.193700.0.S1  FEA=U133PSR  GEN=LIMS1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212687_at LIM and senescent cell antigen-like domains 1  REP_ORG=M. mulatta,gDNA.Hs.193700.0,MmugDNA.12488.1.S1_at,LIMS1,0.592187771
MmugDNA.39148.1.S1_at,gDNA.Hs.57787.0.A1  FEA=U133PSR  GEN=MTAC2D1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 234970_at membrane targeting (tandem) C2 domain containing 1  REP_ORG=M. mulatta,gDNA.Hs.57787.0,MmugDNA.39148.1.S1_at,MTAC2D1,0.591842936
LOC704014,similar to RAR-related orphan receptor A isoform b,XM_001100971,MmugDNA.789.1.S1_at,RORA,0.591226144
LOC710904,similar to ankyrin 1 isoform 1,XM_001099591,MmugDNA.1001.1.S1_s_at,ANK1,0.59113422
NCOA3,nuclear receptor coactivator 3,XM_001101374,MmuSTS.1945.1.S1_at,NCOA3,0.590963536
LOC707739,similar to serine/threonine protein kinase MASK,XM_001096161,MmugDNA.16902.1.S1_at,MST4,0.590766681
LOC709025,similar to Olfactory receptor 7D2 (Olfactory receptor 19-4) (OR19-4) (HTPCRH03),XM_001095560,MmuSTS.2724.1.S1_at,OR7D2,0.590619583
CAMTA1,calmodulin binding transcription activator 1,XM_001118241,MmugDNA.24721.1.S1_at,CAMTA1,0.58897374
LOC723768,"similar to sulfotransferase family, cytosolic, 2B, member 1 isoform b",XM_001119811,MmugDNA.6260.1.S1_at,SULT2B1,0.587477074
LOC715319,hypothetical protein LOC715319,XM_001113377,MmugDNA.12493.1.S1_at,,0.586200953
GPR161,G protein-coupled receptor 161,XM_001091818,MmuSTS.2445.1.S1_at,GPR161,0.585225347
LOC721716,"similar to phosphatidylinositol transfer protein, membrane-associated",XM_001117918,MmugDNA.31272.1.S1_at,PITPNM1,0.585224489
LGI2,"leucine-rich repeat LGI family, member 2",XM_001082016,MmuSTS.1664.1.S1_at,LGI2,0.584396377
LOC715548,similar to dehydrogenase/reductase (SDR family) member 3,XM_001105879,MmugDNA.5488.1.S1_at,DHRS3,0.583254064
NCKIPSD,NCK interacting protein with SH3 domain,XM_001111898,MmugDNA.33737.1.S1_at,NCKIPSD,0.582605546
PRPS2,phosphoribosyl pyrophosphate synthetase 2,XM_001116758,MmugDNA.22224.1.S1_at,,0.582424435
PHF17,PHD finger protein 17,XM_001083157,MmugDNA.39973.1.S1_at,PHF17,0.581559505
LOC710591,similar to Homeobox protein Nkx-3.1,XM_001106266,MmuSTS.1952.1.S1_at,NKX3-1,0.581405209
MmugDNA.7279.1.S1_at,"gDNA.g9857401  FEA=U133PSR  GEN=RASD2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 223634_at RASD family, member 2  REP_ORG=M. mulatta",NP_200198,MmugDNA.7279.1.S1_at,RASD2,0.578695341
LOC696004,similar to glucocorticoid induced transcript 1,XR_010365,MmugDNA.42607.1.S1_at,GLCCI1,0.578664398
SPON1,"spondin 1, extracellular matrix protein",XM_001093336,MmugDNA.7822.1.S1_at,SPON1,0.577942739
CITED2,"similar to Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal",XM_001096152,MmuSTS.1868.1.S1_at,CITED2,0.577722332
SPON1,"spondin 1, extracellular matrix protein",XM_001093336,MmuSTS.260.1.S1_at,SPON1,0.576736475
KCNAB1,"gDNA.g762887  FEA=U133PSR  GEN=KCNAB1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 210079_x_at potassium voltage-gated channel, shaker-related subfamily, beta member 1  REP_ORG=M. mulatta",AF424843,MmugDNA.14710.1.S1_at,KCNAB1,0.576538361
JOSD1,Josephin domain containing 1,XM_001094854,MmugDNA.12658.1.S1_at,,0.574848442
ASCL1,achaete-scute complex homolog 1 (Drosophila),XM_001094978,MmuSTS.3159.1.S1_at,ASCL1,0.571990416
FSTL1,follistatin-like 1,XM_001110768,MmugDNA.40150.1.S1_at,,0.570816502
KCNH8,"potassium voltage-gated channel, subfamily H (eag-related), member 8",XM_001087569,MmuSTS.2929.1.S1_at,KCNH8,0.57046037
NFKBIA,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",XM_001087727,MmuSTS.356.1.S1_s_at,NFKBIA,0.570344283
MmugDNA.41807.1.S1_at,gDNA.Hs.5233.0.A2  FEA=U133PSR  GEN=EIF4EBP2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 224653_at Eukaryotic translation initiation factor 4E binding protein 2  REP_ORG=M. mulatta,gDNA.Hs.5233.0,MmugDNA.41807.1.S1_at,EIF4EBP2,0.570217605
TANC1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1",XM_001093114,MmugDNA.33429.1.S1_at,TANC1,0.570015495
DKFZP564O0823,DKFZP564O0823 protein,XM_001101603,MmugDNA.31477.1.S1_at,DKFZP564O0823,0.569811381
FLRT3,fibronectin leucine rich transmembrane protein 3,XM_001084249,MmugDNA.42347.1.S1_at,FLRT3,0.569380596
ZMAT4,"similar to zinc finger, matrin type 4",XM_001096510,MmugDNA.11850.1.S1_at,ZMAT4,0.568951433
LOC701085,similar to mitogen-activated protein kinase kinase kinase 13,XR_011769,MmugDNA.29220.1.S1_at,MAP3K13,0.568941226
C1S,"complement component 1, s subcomponent",XM_001111384,MmuSTS.1398.1.S1_at,,0.566090644
MmugDNA.23836.1.S1_at,"gDNA.Hs.93963.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 244184_at Transcribed locus, strongly similar to XP_518572.1 similar to brain-specific angiogenesis inhibitor 3 [Pan troglodytes]  REP_ORG=M. mulatta",gDNA.Hs.93963.0,MmugDNA.23836.1.S1_at,,0.565291294
CROP,cisplatin resistance-associated overexpressed protein,XM_001099925,MmugDNA.33064.1.S1_at,CROP,0.565073859
LOC708349,similar to Oxysterol-binding protein-related protein 6 (OSBP-related protein 6) (ORP-6),XR_011866,MmugDNA.6874.1.S1_at,OSBPL6,0.56477352
FSTL1,follistatin-like 1,XM_001110729,MmugDNA.27004.1.S1_at,,0.563583632
MmugDNA.26008.1.S1_at,gDNA.Hs.42179.0.A2  FEA=U133PSR  GEN=MSI2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225240_s_at musashi homolog 2 (Drosophila)  REP_ORG=M. mulatta,CB549187,MmugDNA.26008.1.S1_at,MSI2,0.562847137
LOC709242,similar to phosphatidylethanolamine-binding protein 4,XR_013095,MmugDNA.22952.1.S1_at,PEBP4,0.56256867
MmugDNA.10347.1.S1_at,"gDNA.g190699  FEA=U133PSR  GEN=RET  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 211421_s_at Ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)  REP_ORG=M. mulatta",gDNA,MmugDNA.10347.1.S1_at,RET,0.561732272
LOC699462,"similar to solute carrier family 20 (phosphate transporter), member 1",XM_001089151,MmugDNA.4791.1.S1_at,,0.560784183
MmugDNA.41125.1.S1_at,"gDNA.Hs.5241.1.A1  FEA=U133PSR  GEN=MLLT6  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 224784_at myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6  REP_ORG=M. mulatta",gDNA.Hs.5241.1,MmugDNA.41125.1.S1_at,MLLT6,0.560411879
CROP,cisplatin resistance-associated overexpressed protein,XM_001099925,MmugDNA.33064.1.S1_x_at,CROP,0.560354179
LOC695264,similar to alpha-aminoadipate aminotransferase,XR_009988,MmugDNA.36251.1.S1_at,AADAT,0.560337821
LOC722507,similar to neuronal calcium sensor-1,XM_001118646,MmugDNA.21501.1.S1_at,MSI2,0.559946285
LPIN2,lipin 2,XM_001085578,MmugDNA.7806.1.S1_at,LPIN2,0.559386468
LOC718529,similar to stromal antigen 1,XR_013939,MmugDNA.19455.1.S1_at,STAG1,0.559274317
TRHDE,thyrotropin-releasing hormone degrading enzyme,XM_001109391,MmugDNA.86.1.S1_at,TRHDE,0.558373432
LOC701759,similar to Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (TCF-4) (hTCF-4),XM_001090054,MmugDNA.14620.1.S1_at,TCF7L2,0.558349586
FHOD1,formin homology 2 domain containing 1,XM_001089059,MmugDNA.42326.1.S1_at,FHOD1,0.55757466
MmugDNA.5775.1.S1_at,gDNA.Hs.88316.0.A1  FEA=U133PSR  GEN=LOC146174  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230721_at hypothetical protein LOC146174  REP_ORG=M. mulatta,gDNA.Hs.88316.0,MmugDNA.5775.1.S1_at,LOC146174,0.557325118
ALDH1A3,"aldehyde dehydrogenase 1 family, member A3",XM_001083856,MmugDNA.38030.1.S1_at,LOC146174,0.556963059
LOC706849,similar to MAX-interacting protein,XR_012602,MmugDNA.2083.1.S1_at,MGA,0.556409289
LOC701759,Similar to Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (TCF-4) (hTCF-4),DQ148230,MmugDNA.39471.1.S1_s_at,TCF7L2,0.556352749
LOC718318,similar to heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3B1,XM_001114547,MmugDNA.22407.1.S1_at,HS3ST3B1,0.555780255
KCNAB1,"potassium voltage-gated channel, shaker-related subfamily, beta member 1",XM_001104894,MmugDNA.34243.1.S1_at,KCNAB1,0.554451537
MmugDNA.40211.1.S1_at,gDNA.Hs.7132.0.S1  FEA=U133PSR  GEN=KIAA0574  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213997_at KIAA0574 protein  REP_ORG=M. mulatta,gDNA.Hs.7132.0,MmugDNA.40211.1.S1_at,KIAA0574,0.554377399
MmugDNA.1031.1.S1_at,gDNA.Hs2.406946.1.S1  FEA=U133PSR  GEN=RPL4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1562440_at Ribosomal protein L4  REP_ORG=M. mulatta,gDNA.Hs2.406946.1,MmugDNA.1031.1.S1_at,RPL4,0.553605141
MmugDNA.7145.1.S1_at,"gDNA.Hs.165337.1.A1  FEA=U133PSR  GEN=EIF2C2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235766_x_at Eukaryotic translation initiation factor 2C, 2  REP_ORG=M. mulatta",gDNA.Hs.165337.1,MmugDNA.7145.1.S1_at,EIF2C2,0.552056387
LOC703567,hypothetical protein LOC703567,XM_001101233,MmugDNA.30318.1.S1_at,,0.551611764
PPARGC1A,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha",XM_001105289,MmuSTS.1237.1.S1_at,PPARGC1A,0.551477215
Mmu.357.1.S1_at,gb:CO646640  DB_XREF=gi:50568134  DB_XREF=ILLUMIGEN_MCQ_39441  CLONE=IBIUW:24926  TID=Mmu.357.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CO646640,Mmu.357.1.S1_at,,0.550874532
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",XM_001097339,MmuSTS.3985.1.S1_at,ST8SIA4,0.549072147
PTEN,phosphatase and tensin homolog,XM_001102446,MmugDNA.14997.1.S1_at,PTEN,0.548580455
LOC703060,similar to WD repeat domain 10 isoform 2,XR_011521,MmugDNA.7493.1.S1_at,WDR10,0.548578409
CISH,cytokine inducible SH2-containing protein,XM_001097728,MmugDNA.521.1.S1_s_at,CISH,0.548162369
LOC709276,similar to KIAA1900,XM_001097781,MmugDNA.2963.1.S1_at,KIAA1900,0.547609142
CPNE9,copine family member IX,XM_001096444,MmugDNA.2072.1.S1_at,CPNE9,0.547330823
LOC705831,similar to tolloid-like 1,XM_001101883,MmuSTS.932.1.S1_s_at,TLL1,0.547101983
MmugDNA.28820.1.S1_at,gDNA.Hs.30484.0.A1  FEA=U133PSR  GEN=COLM  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230360_at collomin  REP_ORG=M. mulatta,gDNA.Hs.30484.0,MmugDNA.28820.1.S1_at,COLM,0.546261928
LOC706284,hypothetical protein LOC706284,XM_001095006,MmugDNA.5239.1.S1_at,,0.54617487
LOC704166,similar to transmembrane protein 16E,XR_011243,MmugDNA.6553.1.S1_at,SLC17A6,0.544757449
MmugDNA.15321.1.S1_at,gDNA.Hs.48919.0.S1  FEA=U133PSR  GEN=C9orf52  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 232000_at Chromosome 9 open reading frame 52  REP_ORG=M. mulatta,gDNA.Hs.48919.0,MmugDNA.15321.1.S1_at,C9orf52,0.54283486
ARHGAP9,Rho GTPase activating protein 9,XM_001100524,MmugDNA.35645.1.S1_s_at,ARHGAP9,0.541797778
KBTBD3,kelch repeat and BTB (POZ) domain containing 3,XM_001101948,MmugDNA.3748.1.S1_at,LOC112868,0.540651242
LOC716986,similar to alpha 1 type XIII collagen isoform 5,XM_001108092,MmuSTS.1876.1.S1_at,COL13A1,0.540222825
MmugDNA.41280.1.S1_at,gDNA.Hs.150580.1.A1  FEA=U133PSR  GEN=MAP4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212567_s_at microtubule-associated protein 4  REP_ORG=M. mulatta,gDNA.Hs.150580.1,MmugDNA.41280.1.S1_at,MAP4,0.540007823
BARD1,BRCA1 associated RING domain 1,XM_001084623,MmuSTS.549.1.S1_at,BARD1,0.540005457
LOC699884,gDNA.g9910363  FEA=U133PSR  GEN=ASPH  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 207284_s_at aspartate beta-hydroxylase  REP_ORG=M. mulatta,NP_115856,MmugDNA.16389.1.S1_at,ASPH,0.53918488
RASSF4,Ras association (RalGDS/AF-6) domain family member 4,XM_001101245,MmugDNA.23080.1.S1_at,RASSF4,0.538820198
LOC718143,similar to Tumor necrosis factor receptor superfamily member 19L precursor (Receptor expressed in lymphoid tissues),XM_001110447,MmugDNA.39392.1.S1_at,TNFRSF19L,0.538573728
